demarcacion_hidrografica;cod_piezometro;cod_europeo;nombre;cota_terreno_msnm;MASb_controlada;provincia;municipio;n_medidas
Guadalquivir;05.06.004;ES050ESPZ0000506004;Casablanca - Cerro las Faces;1.077;Orce - María - Cúllar;Almería;María;161
Guadalquivir;05.06.901;ES050ESPZ0000506901;Cortijo del Aljibe - Dos;1.271;Orce - María - Cúllar;Almería;Chirivel;365
Cuencas Mediterráneas Andaluzas;06.08.001;ES060ESBTP-06-08-001-B;El Alpargatero;565;Aguas;Almería;Tabernas;138
Cuencas Mediterráneas Andaluzas;06.08.002;ES060ESBTP-06-08-002-B;Villaricos;405;Aguas;Almería;Sorbas;170
Cuencas Mediterráneas Andaluzas;06.02.003;ES060ESBTP-06-02-003-B;Rambla de Partaloa;613;Alto-Medio Almanzora;Almería;Partaloa;39
Cuencas Mediterráneas Andaluzas;06.03.001;ES060ESBTP-06-03-001-B;Margen izq río Almanzora;309;Alto-Medio Almanzora;Almería;Cantoria;179
Cuencas Mediterráneas Andaluzas;06.06.001;ES060ESBTP-06-06-001-B;Palomares;10;Bajo Almanzora;Almería;Cuevas del Almanzora;207
Cuencas Mediterráneas Andaluzas;06.06.003S;ES060ESBTP-06-06-003-S;Canal de Almargen;8;Bajo Almanzora;Almería;Cuevas del Almanzora;44
Cuencas Mediterráneas Andaluzas;06.06.004S;ES060ESBTP-06-06-004-S;Bombardas;21;Bajo Almanzora;Almería;Cuevas del Almanzora;44
Cuencas Mediterráneas Andaluzas;06.06.005S;ES060ESBTP-06-06-005-S;Ctjo. El Gato;8;Bajo Almanzora;Almería;Cuevas del Almanzora;36
Cuencas Mediterráneas Andaluzas;06.06.007S;ES060ESBTP-06-06-007-S;Ctjo. Los Silos;65;Bajo Almanzora;Almería;Cuevas del Almanzora;41
Cuencas Mediterráneas Andaluzas;06.06.008S;ES060ESBTP-06-06-008-S;Ctjo. Aljarilla;61;Bajo Almanzora;Almería;Cuevas del Almanzora;43
Cuencas Mediterráneas Andaluzas;06.06.010S;ES060ESBTP-06-06-010-S;Vivero C.H.S.E.;80;Bajo Almanzora;Almería;Cuevas del Almanzora;21
Cuencas Mediterráneas Andaluzas;06.06.016S;ES060ESBTP-06-06-016-S;La Parralera;60;Bajo Almanzora;Almería;Cuevas del Almanzora;44
Cuencas Mediterráneas Andaluzas;06.06.018S;ES060ESBTP-06-06-018-S;San Diego;6;Bajo Almanzora;Almería;Cuevas del Almanzora;32
